
Image Name                     PID Session Name        Session#    Mem Usage
SupportAssistAgent.exe        5488 Services                   0     12,180 K
svchost.exe                   6600 Services                   0        564 K
DDVDataCollector.exe          6716 Services                   0      5,680 K
DDVCollectorSvcApi.exe        6544 Services                   0         20 K
svchost.exe                   2996 Services                   0      3,860 K
PresentationFontCache.exe     9492 Services                   0      1,988 K
svchost.exe                   2528 Services                   0     17,964 K
svchost.exe                   6096 Services                   0        472 K
svchost.exe                  17136 Services                   0      1,188 K
svchost.exe                  17944 Services                   0         16 K
svchost.exe                  18264 Services                   0        664 K
svchost.exe                  18328 Services                   0      1,572 K
SecurityHealthService.exe    17660 Services                   0      2,836 K
mc-vpn.exe                   15496 Services                   0      1,420 K
svchost.exe                  14572 Services                   0      2,724 K
svchost.exe                  21572 Services                   0      1,552 K
svchost.exe                  18988 Services                   0      9,700 K
svchost.exe                  23960 Services                   0        876 K
wlanext.exe                  24740 Services                   0         24 K
csrss.exe                    26604 Console                    2      2,164 K
winlogon.exe                 27788 Console                    2        492 K
fontdrvhost.exe              10136 Console                    2         20 K
dwm.exe                      11184 Console                    2     34,692 K
dptf_helper.exe               7428 Console                    2        716 K
mc-fw-host.exe               22792 Console                    2      2,108 K
sihost.exe                   22672 Console                    2     16,764 K
Dell.TechHub.Instrumentat    16992 Console                    2     18,252 K
svchost.exe                  18356 Console                    2      3,352 K
igfxEMN.exe                  24648 Console                    2         60 K
svchost.exe                  13084 Console                    2        720 K
SangforUDProtectEx.exe       22800 Console                    2      2,768 K
taskhostw.exe                13792 Console                    2      3,504 K
explorer.exe                 15072 Console                    2     93,220 K
CrossDeviceResume.exe        26564 Console                    2        952 K
RtkAudUService64.exe          9744 Console                    2        844 K
svchost.exe                  22348 Console                    2      1,316 K
SearchHost.exe               19672 Console                    2     12,228 K
StartMenuExperienceHost.e    22316 Console                    2      9,776 K
WidgetBoard.exe              22432 Console                    2      6,596 K
svchost.exe                  16552 Console                    2      1,596 K
msedgewebview2.exe           19636 Console                    2      4,804 K
msedgewebview2.exe           19440 Console                    2        456 K
hsscp.exe                    23672 Console                    2     13,564 K
msedgewebview2.exe           23188 Console                    2      1,136 K
msedgewebview2.exe            2884 Console                    2      1,316 K
WidgetService.exe            23740 Console                    2      2,472 K
msedgewebview2.exe           22036 Console                    2         20 K
msedgewebview2.exe           19612 Console                    2        656 K
ctfmon.exe                   11196 Console                    2     11,064 K
LockApp.exe                   8656 Console                    2         12 K
RuntimeBroker.exe            12028 Console                    2      5,132 K
svchost.exe                  24164 Console                    2      2,396 K
MicrosoftStartFeedProvide    23784 Console                    2      3,880 K
svchost.exe                  26020 Console                    2        936 K
svchost.exe                  13976 Services                   0      1,180 K
SecurityHealthSystray.exe    18740 Console                    2         28 K
RtkAudUService64.exe         24888 Console                    2      1,228 K
WavesSvc64.exe               25784 Console                    2      8,692 K
vgtray.exe                   24240 Console                    2        360 K
AVGUI.exe                    18944 Console                    2     21,480 K
OneDrive.exe                 23412 Console                    2     12,904 K
svchost.exe                  15328 Console                    2      2,728 K
AVGUI.exe                    26216 Console                    2      5,976 K
AVGUI.exe                     2008 Console                    2        816 K
AVGUI.exe                    16856 Console                    2      2,136 K
CiscoCollabHost.exe           1092 Console                    2     20,696 K
wmlhost.exe                  22836 Console                    2        832 K
WebexHost.exe                26632 Console                    2      2,336 K
ShellExperienceHost.exe      17260 Console                    2     45,920 K
RuntimeBroker.exe            12704 Console                    2     15,024 K
Discord.exe                  16196 Console                    2     28,280 K
Discord.exe                  17772 Console                    2         28 K
Discord.exe                   5036 Console                    2      5,676 K
Discord.exe                  18816 Console                    2     12,180 K
Discord.exe                  17980 Console                    2     49,792 K
Discord.exe                   6344 Console                    2      1,652 K
svchost.exe                   9412 Services                   0      7,400 K
RiotClientServices.exe       20084 Console                    2      2,080 K
RiotClientCrashHandler.ex    22632 Console                    2         28 K
uTorrent.exe                  6580 Console                    2      9,232 K
utorrentie.exe                1364 Console                    2      1,548 K
utorrentie.exe                7008 Console                    2      1,544 K
msedgewebview2.exe           12668 Console                    2     17,808 K
msedgewebview2.exe           18772 Console                    2         28 K
msedgewebview2.exe           21284 Console                    2      6,188 K
msedgewebview2.exe           23568 Console                    2      5,724 K
msedgewebview2.exe           19276 Console                    2      2,156 K
msedgewebview2.exe           23996 Console                    2      3,272 K
conhost.exe                  15036 Services                   0        536 K
esrv.exe                     13920 Console                    2      8,112 K
helper.exe                   12276 Console                    2      3,484 K
ms-teams.exe                 10380 Console                    2     11,680 K
RuntimeBroker.exe            12280 Console                    2      1,344 K
msedgewebview2.exe           21052 Console                    2     23,272 K
msedgewebview2.exe           23804 Console                    2         32 K
msedgewebview2.exe            3416 Console                    2      5,304 K
msedgewebview2.exe           16096 Console                    2      6,768 K
msedgewebview2.exe           24772 Console                    2      3,228 K
msedgewebview2.exe           17104 Console                    2     33,392 K
unsecapp.exe                 27152 Console                    2         20 K
WhatsApp.Root.exe            20444 Console                    2     20,496 K
RuntimeBroker.exe            15028 Console                    2      1,480 K
msedgewebview2.exe            7896 Console                    2     30,592 K
msedgewebview2.exe           19728 Console                    2      1,440 K
msedgewebview2.exe           14132 Console                    2      8,080 K
msedgewebview2.exe           27580 Console                    2     14,172 K
msedgewebview2.exe           21904 Console                    2      2,792 K
msedgewebview2.exe           16592 Console                    2     38,524 K
SmartByteTelemetry.exe       27344 Console                    2      4,696 K
IntelGraphicsSoftware.exe    24488 Console                    2     22,388 K
svchost.exe                  21096 Services                   0         64 K
browser_assistant.exe        12508 Console                    2      1,164 K
browser_assistant.exe        14632 Console                    2         36 K
AppActions.exe               17568 Console                    2      5,344 K
ShellHost.exe                21288 Console                    2      2,556 K
ECAgent.exe                  11924 Console                    2      4,240 K
svchost.exe                  26976 Services                   0        456 K
msedgewebview2.exe           28940 Console                    2      2,704 K
servicehost.exe              10064 Services                   0     12,880 K
uihost.exe                   14388 Console                    2     10,792 K
OneDrive.Sync.Service.exe    14848 Console                    2      1,636 K
SDXHelper.exe                19592 Console                    2      3,636 K
backgroundTaskHost.exe        6608 Console                    2         20 K
PhoneExperienceHost.exe      13532 Console                    2      6,144 K
UserOOBEBroker.exe           26520 Console                    2         20 K
CiscoCollabHost.exe           2964 Console                    2      6,172 K
backgroundTaskHost.exe       28260 Console                    2      4,680 K
RuntimeBroker.exe            21500 Console                    2      2,348 K
xampp-control.exe            29028 Console                    2      3,228 K
msedge.exe                   18552 Console                    2     14,364 K
msedge.exe                   16620 Console                    2         28 K
msedge.exe                    5128 Console                    2      6,488 K
msedge.exe                   28828 Console                    2      3,996 K
msedge.exe                   22468 Console                    2      1,912 K
xampp-control.exe             7364 Console                    2      3,276 K
httpd.exe                    27752 Console                    2         20 K
conhost.exe                  20664 Console                    2         28 K
httpd.exe                     1132 Console                    2         88 K
dllhost.exe                  21004 Console                    2        484 K
dllhost.exe                  21476 Console                    2        496 K
dllhost.exe                   1964 Console                    2        468 K
dllhost.exe                  11492 Console                    2         48 K
xampp-control.exe            27420 Console                    2      3,328 K
xampp-control.exe             6188 Console                    2      3,548 K
chrome.exe                   12636 Console                    2     87,972 K
chrome.exe                   14304 Console                    2        240 K
chrome.exe                   29032 Console                    2     75,036 K
chrome.exe                   10532 Console                    2     23,500 K
chrome.exe                   22416 Console                    2      3,348 K
chrome.exe                   19912 Console                    2      2,496 K
chrome.exe                   28800 Console                    2      5,940 K
chrome.exe                    3912 Console                    2    303,556 K
FileCoAuth.exe               13764 Console                    2      2,352 K
Antigravity.exe              28432 Console                    2     91,688 K
Antigravity.exe              10912 Console                    2         32 K
Antigravity.exe              11320 Console                    2    120,024 K
Antigravity.exe              16676 Console                    2     13,648 K
Antigravity.exe              11536 Console                    2    877,732 K
Antigravity.exe              28296 Console                    2      1,152 K
Antigravity.exe              23344 Console                    2     16,908 K
Antigravity.exe              15224 Console                    2     10,320 K
Antigravity.exe              27136 Console                    2      1,664 K
Antigravity.exe              26796 Console                    2      4,992 K
Antigravity.exe               3696 Console                    2     15,000 K
conhost.exe                  25192 Console                    2         28 K
cmd.exe                       8548 Console                    2         36 K
Antigravity.exe              26124 Console                    2    107,188 K
language_server_windows_x    13016 Console                    2    726,444 K
conhost.exe                  26348 Console                    2        692 K
java.exe                     17280 Console                    2     44,788 K
conhost.exe                  15392 Console                    2        372 K
cmd.exe                      29108 Console                    2         16 K
mysqld.exe                   16364 Console                    2     11,400 K
java.exe                      3520 Console                    2      1,488 K
java.exe                     14292 Console                    2    176,312 K
chrome.exe                   26204 Console                    2      1,644 K
Antigravity.exe              27000 Console                    2      1,424 K
chrome.exe                   17556 Console                    2      8,584 K
cmd.exe                       3220 Console                    2         20 K
cmd.exe                       6424 Console                    2         16 K
Antigravity.exe               8028 Console                    2      1,556 K
cmd.exe                      13524 Console                    2         20 K
cmd.exe                       7748 Console                    2         20 K
cmd.exe                      24580 Console                    2         20 K
esrv_svc.exe                 18016 Services                   0     35,948 K
cmd.exe                      29568 Console                    2         20 K
cmd.exe                      20352 Console                    2         20 K
cmd.exe                       3532 Console                    2         20 K
msedgewebview2.exe           15336 Console                    2      2,412 K
cmd.exe                      17880 Console                    2         20 K
cmd.exe                      23260 Console                    2         20 K
cmd.exe                       6848 Console                    2         20 K
cmd.exe                      23168 Console                    2         20 K
cmd.exe                      18584 Console                    2         16 K
cmd.exe                      22956 Console                    2         16 K
svchost.exe                  14624 Services                   0        460 K
chrome.exe                   18444 Console                    2      2,704 K
audiodg.exe                  11220 Services                   0     30,952 K
chrome.exe                   25492 Console                    2      2,184 K
mc-neo-host.exe              13352 Services                   0        928 K
svchost.exe                  14476 Console                    2     17,032 K
cmd.exe                      20676 Console                    2         20 K
cmd.exe                       2652 Console                    2         20 K
cmd.exe                      17160 Console                    2         20 K
cmd.exe                       8940 Console                    2         20 K
cmd.exe                      25772 Console                    2         20 K
svchost.exe                  26024 Services                   0      7,088 K
cmd.exe                      29300 Console                    2        608 K
cmd.exe                      26724 Console                    2        668 K
svchost.exe                  19100 Services                   0      1,316 K
chrome.exe                   24924 Console                    2     39,372 K
cmd.exe                      21276 Console                    2      2,432 K
cmd.exe                      27764 Console                    2      2,424 K
cmd.exe                      16876 Console                    2      4,652 K
WmiPrvSE.exe                 11456 Services                   0     13,604 K
MoUsoCoreWorker.exe          25188 Services                   0     32,676 K
svchost.exe                  17124 Services                   0     22,664 K
cmd.exe                       5296 Console                    2      5,244 K
svchost.exe                  29500 Services                   0     11,796 K
cmd.exe                      21772 Console                    2      4,720 K
tasklist.exe                 13448 Console                    2     13,236 K
